team,mean_points_mc,var_points_mc,champ_prob,mean_points_theory,var_points_theory,mean_diff,var_diff,seasons,avg_champion_points_mc,std_champion_points_mc,seed,home_adv,n_teams
Barcelona,69.0255,62.708521,0.4434,68.860383,63.862266,0.165117,-1.153746,10000,73.7895,5.406285,2703337142813594529,1.05,20
Real Madrid,66.7408,63.496765,0.3136,66.810711,64.67834,-0.069911,-1.181575,10000,73.7895,5.406285,2703337142813594529,1.05,20
Ath Madrid,58.2734,63.426995,0.0593,58.303933,65.345657,-0.030533,-1.918662,10000,73.7895,5.406285,2703337142813594529,1.05,20
Valencia,55.4372,64.844541,0.0338,55.592788,65.143028,-0.155588,-0.298487,10000,73.7895,5.406285,2703337142813594529,1.05,20
Villarreal,54.4046,63.11201,0.0267,54.351317,64.987792,0.053283,-1.875782,10000,73.7895,5.406285,2703337142813594529,1.05,20
Sevilla,54.084,64.510195,0.0256,54.151568,64.9795,-0.067568,-0.469305,10000,73.7895,5.406285,2703337142813594529,1.05,20
La Coruna,52.4468,64.289399,0.0165,52.47747,64.400069,-0.03067,-0.11067,10000,73.7895,5.406285,2703337142813594529,1.05,20
Sociedad,52.0252,65.736139,0.0153,52.057354,64.467772,-0.032154,1.268367,10000,73.7895,5.406285,2703337142813594529,1.05,20
Ath Bilbao,51.3784,64.680281,0.0118,51.329853,64.189309,0.048547,0.490973,10000,73.7895,5.406285,2703337142813594529,1.05,20
Betis,50.2475,62.796323,0.0091,50.05891,63.801122,0.18859,-1.004798,10000,73.7895,5.406285,2703337142813594529,1.05,20
Celta,50.0574,63.55126,0.0067,50.108049,63.8423,-0.050649,-0.29104,10000,73.7895,5.406285,2703337142813594529,1.05,20
Zaragoza,49.4721,64.942316,0.0062,49.516789,63.882137,-0.044689,1.060178,10000,73.7895,5.406285,2703337142813594529,1.05,20
Mallorca,49.3566,64.520889,0.0066,49.278834,63.543131,0.077766,0.977758,10000,73.7895,5.406285,2703337142813594529,1.05,20
Espanol,48.952,62.601556,0.0054,48.992413,63.237613,-0.040413,-0.636057,10000,73.7895,5.406285,2703337142813594529,1.05,20
Malaga,48.6447,64.200682,0.0057,48.71321,63.342088,-0.06851,0.858594,10000,73.7895,5.406285,2703337142813594529,1.05,20
Getafe,48.397,63.808772,0.005,48.504789,62.743798,-0.107789,1.064974,10000,73.7895,5.406285,2703337142813594529,1.05,20
Santander,47.5307,63.652023,0.0031,47.518036,62.765564,0.012664,0.886459,10000,73.7895,5.406285,2703337142813594529,1.05,20
Osasuna,46.5482,62.762153,0.0025,46.531162,62.071008,0.017038,0.691145,10000,73.7895,5.406285,2703337142813594529,1.05,20
Valladolid,45.8885,61.310999,0.0022,45.857545,61.641076,0.030955,-0.330077,10000,73.7895,5.406285,2703337142813594529,1.05,20
Vallecano,44.7841,62.776565,0.0015,44.715855,61.865857,0.068245,0.910708,10000,73.7895,5.406285,2703337142813594529,1.05,20
